tripduration,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
54.0,109,1,01/01/2021 12:49:10 AM,01/01/2021 12:50:04 AM,1,0.2,1,N,68,246,1,3.0,3.0,0.5,1.0,0.0,0.3,7.8,2.5
280.0,110,2,01/01/2021 12:31:10 AM,01/01/2021 12:35:50 AM,1,1.24,1,N,236,140,1,6.0,0.5,0.5,3.0,0.0,0.3,12.8,2.5
524.0,111,2,01/01/2021 12:37:24 AM,01/01/2021 12:46:08 AM,1,1.91,1,N,140,43,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
171.0,112,2,01/01/2021 12:47:51 AM,01/01/2021 12:50:42 AM,1,0.5,1,N,239,238,1,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
192.0,113,2,01/01/2021 12:11:53 AM,01/01/2021 12:15:05 AM,2,0.7,1,N,263,236,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
262.0,114,2,01/01/2021 12:17:52 AM,01/01/2021 12:22:14 AM,3,1.29,1,N,236,238,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
718.0,115,2,01/01/2021 12:53:51 AM,01/01/2021 01:05:49 AM,2,4.26,1,N,231,137,2,14.5,0.5,0.5,0.0,0.0,0.3,18.3,2.5
273.0,116,1,01/01/2021 12:34:38 AM,01/01/2021 12:39:11 AM,1,0.7,1,N,68,50,3,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5
910.0,117,1,01/01/2021 12:59:27 AM,01/01/2021 01:14:37 AM,1,4.6,1,N,249,181,2,16.0,3.0,0.5,0.0,0.0,0.3,19.8,2.5
194.0,118,2,01/01/2021 12:19:32 AM,01/01/2021 12:22:46 AM,1,1.34,1,N,236,237,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
949.0,120,1,01/01/2021 12:14:39 AM,01/01/2021 12:30:28 AM,2,1.6,1,N,114,234,1,11.5,3.0,0.5,4.55,0.0,0.3,19.85,2.5
568.0,121,1,01/01/2021 12:40:50 AM,01/01/2021 12:50:18 AM,1,1.1,1,N,48,100,1,7.5,3.0,0.5,1.0,0.0,0.3,12.3,2.5
1047.0,122,2,01/01/2021 12:14:41 AM,01/01/2021 12:32:08 AM,1,9.19,1,N,79,7,2,27.0,0.5,0.5,0.0,0.0,0.3,30.8,2.5
840.0,124,1,01/01/2021 12:03:06 AM,01/01/2021 12:17:06 AM,1,4.5,1,N,90,238,1,15.0,3.0,0.5,3.75,0.0,0.3,22.55,2.5
245.0,126,2,01/01/2021 12:38:26 AM,01/01/2021 12:42:31 AM,2,1.38,1,N,233,107,1,5.5,0.5,0.5,1.4,0.0,0.3,10.7,2.5
92.0,127,1,01/01/2021 12:45:19 AM,01/01/2021 12:46:51 AM,0,0.5,1,N,229,140,2,4.0,3.0,0.5,0.0,0.0,0.3,7.8,2.5
418.0,128,1,01/01/2021 12:49:15 AM,01/01/2021 12:56:13 AM,0,0.8,1,N,140,229,2,6.5,3.0,0.5,0.0,0.0,0.3,10.3,2.5
1261.0,129,2,01/01/2021 12:02:34 AM,01/01/2021 12:23:35 AM,1,5.83,1,N,68,74,2,19.5,0.5,0.5,0.0,0.0,0.3,23.3,2.5
391.0,130,2,01/01/2021 12:28:18 AM,01/01/2021 12:34:49 AM,1,1.35,1,N,74,41,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,0.0
1015.0,131,2,01/01/2021 12:08:03 AM,01/01/2021 12:24:58 AM,1,4.11,1,N,48,226,2,15.5,0.5,0.5,0.0,0.0,0.3,19.3,2.5
55.0,132,2,01/01/2021 12:42:02 AM,01/01/2021 12:42:57 AM,1,0.32,1,N,233,229,2,3.0,0.5,0.5,0.0,0.0,0.3,6.8,2.5
748.0,133,2,01/01/2021 12:48:05 AM,01/01/2021 01:00:33 AM,1,2.31,1,N,263,41,2,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
166.0,134,1,01/01/2021 12:25:36 AM,01/01/2021 12:28:22 AM,2,1.0,1,Y,263,140,1,5.0,3.0,0.5,2.6,0.0,0.3,11.4,2.5
367.0,135,1,01/01/2021 12:35:11 AM,01/01/2021 12:41:18 AM,1,0.9,1,N,236,262,1,6.0,3.0,0.5,1.95,0.0,0.3,11.75,2.5
64.0,136,1,01/01/2021 12:45:45 AM,01/01/2021 12:46:49 AM,1,0.2,1,N,262,263,3,3.0,3.0,0.5,0.0,0.0,0.3,6.8,2.5
138.0,137,1,01/01/2021 12:57:04 AM,01/01/2021 12:59:22 AM,2,0.4,1,N,237,237,1,4.0,3.0,0.5,0.0,0.0,0.3,7.8,2.5
1280.0,139,1,01/01/2021 12:28:03 AM,01/01/2021 12:49:23 AM,2,8.4,1,N,234,116,2,26.0,3.0,0.5,0.0,0.0,0.3,29.8,2.5
560.0,140,1,01/01/2021 12:41:17 AM,01/01/2021 12:50:37 AM,2,2.8,1,N,113,162,2,10.5,3.0,0.5,0.0,0.0,0.3,14.3,2.5
402.0,141,1,01/01/2021 12:56:47 AM,01/01/2021 01:03:29 AM,3,1.3,1,N,237,262,1,7.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
705.0,142,2,01/01/2021 12:28:44 AM,01/01/2021 12:40:29 AM,2,2.19,1,N,164,137,1,10.5,0.5,0.5,2.0,0.0,0.3,16.3,2.5
533.0,143,1,01/01/2021 12:12:51 AM,01/01/2021 12:21:44 AM,2,2.3,1,N,249,224,1,9.0,3.0,0.5,3.8,0.0,0.3,16.6,2.5
138.0,144,1,01/01/2021 12:45:12 AM,01/01/2021 12:47:30 AM,2,0.2,1,N,229,229,1,3.5,3.0,0.5,0.0,0.0,0.3,7.3,2.5
833.0,145,1,01/01/2021 12:55:31 AM,01/01/2021 01:09:24 AM,2,2.9,1,N,141,234,4,12.5,3.0,0.5,0.0,0.0,0.3,16.3,2.5
